Timestamp;QPU;Fid_Media_1Q_%;Fid_Media_2Q_%;Fid_Lectura_%
2026-04-30 07:40:03;Cepheus-1-108Q;96.82;93.67;94.15
2026-04-30 07:40:03;Garnet;99.74;98.33;96.89
2026-04-30 07:40:03;Forte 1;N/A;99.22;99.37
2026-04-30 19:40:06;Cepheus-1-108Q;96.83;93.01;94.02
2026-04-30 19:40:06;Garnet;99.73;97.56;97.88
2026-04-30 19:40:06;Forte 1;N/A;99.22;99.37
2026-05-01 07:40:10;Cepheus-1-108Q;96.41;93.94;94.36
2026-05-01 07:40:10;Garnet;99.73;97.56;97.88
2026-05-01 07:40:10;Forte 1;N/A;99.22;99.37
2026-05-01 19:40:14;Cepheus-1-108Q;96.44;92.74;94.1
2026-05-01 19:40:14;Garnet;99.83;98.51;97.31
2026-05-01 19:40:14;Forte 1;N/A;99.22;99.37
2026-05-02 07:40:18;Cepheus-1-108Q;95.97;94.95;94.29
2026-05-02 07:40:18;Garnet;99.87;98.79;97.69
2026-05-02 07:40:18;Forte 1;N/A;99.22;99.37
2026-05-02 19:40:22;Cepheus-1-108Q;96.3;93.37;94.02
2026-05-02 19:40:22;Garnet;99.87;98.7;97.48
2026-05-02 19:40:22;Forte 1;N/A;99.22;99.37
2026-05-03 07:40:26;Cepheus-1-108Q;95.96;94.6;94.25
2026-05-03 07:40:26;Garnet;99.82;98.45;97.21
2026-05-03 07:40:26;Forte 1;N/A;99.22;99.37
2026-05-03 19:40:30;Cepheus-1-108Q;96.44;93.7;94.18
2026-05-03 19:40:30;Garnet;99.87;98.48;97.99
2026-05-03 19:40:30;Forte 1;N/A;99.22;99.37
2026-05-04 07:40:34;Cepheus-1-108Q;95.48;92.89;93.77
2026-05-04 07:40:34;Garnet;99.88;98.81;97.58
2026-05-04 07:40:34;Forte 1;N/A;99.22;99.37
2026-05-04 19:40:37;Cepheus-1-108Q;97.35;92.52;93.85
2026-05-04 19:40:37;Garnet;99.87;98.75;97.68
2026-05-04 19:40:37;Forte 1;N/A;98.76;99.62
2026-05-05 07:40:41;Cepheus-1-108Q;95.98;93.61;94.51
2026-05-05 07:40:41;Garnet;99.88;98.97;97.55
2026-05-05 07:40:41;Forte 1;N/A;98.42;99.63
2026-05-05 19:40:46;Cepheus-1-108Q;97.77;91.81;94.21
2026-05-05 19:40:46;Garnet;99.85;98.78;97.78
2026-05-05 19:40:46;Forte 1;N/A;98.42;99.63
2026-05-06 07:40:50;Cepheus-1-108Q;96.91;92.22;94.03
2026-05-06 07:40:50;Garnet;99.88;98.81;97.3
2026-05-06 07:40:50;Forte 1;N/A;98.09;99.63
2026-05-06 19:40:54;Cepheus-1-108Q;97.35;92.55;94.32
2026-05-06 19:40:54;Garnet;99.79;98.32;96.93
2026-05-06 19:40:54;Forte 1;N/A;98.09;99.63
2026-05-07 07:40:58;Cepheus-1-108Q;97.75;93.94;94.33
2026-05-07 07:40:58;Garnet;99.88;98.79;97.13
2026-05-07 07:40:58;Forte 1;N/A;98.78;99.61
2026-05-07 19:41:02;Cepheus-1-108Q;96.44;93.37;94.14
2026-05-07 19:41:02;Garnet;99.88;98.52;97.08
2026-05-07 19:41:02;Forte 1;N/A;98.78;99.61
2026-05-08 07:41:06;Cepheus-1-108Q;96.84;93.41;94.28
2026-05-08 07:41:06;Garnet;99.87;98.74;97.42
2026-05-08 07:41:06;Forte 1;N/A;98.78;99.61
2026-05-08 19:41:09;Cepheus-1-108Q;96.81;93.7;94.12
2026-05-08 19:41:09;Garnet;99.88;98.84;97.53
2026-05-08 19:41:09;Forte 1;N/A;98.78;99.61
2026-05-09 07:41:13;Cepheus-1-108Q;96.86;93.18;94.25
2026-05-09 07:41:13;Garnet;99.87;98.83;97.61
2026-05-09 07:41:13;Forte 1;N/A;98.67;99.61
2026-05-09 19:41:17;Cepheus-1-108Q;97.32;93.1;94.12
2026-05-09 19:41:17;Garnet;99.88;98.74;97.66
2026-05-09 19:41:17;Forte 1;N/A;98.67;99.61
2026-05-10 07:41:21;Cepheus-1-108Q;96.86;92.0;94.05
2026-05-10 07:41:21;Garnet;99.89;98.85;97.69
2026-05-10 07:41:21;Forte 1;N/A;98.67;99.61
2026-05-10 19:41:25;Cepheus-1-108Q;97.34;93.93;94.21
2026-05-10 19:41:25;Garnet;99.89;98.63;97.88
2026-05-10 19:41:25;Forte 1;N/A;98.67;99.61
2026-05-11 07:41:29;Cepheus-1-108Q;96.89;93.59;94.05
2026-05-11 07:41:29;Garnet;99.9;98.84;97.69
2026-05-11 07:41:29;Forte 1;N/A;98.67;99.61
2026-05-11 19:41:32;Cepheus-1-108Q;97.35;92.87;94.2
2026-05-11 19:41:32;Garnet;99.89;98.92;97.58
2026-05-11 19:41:32;Forte 1;N/A;98.67;99.61
2026-05-12 07:41:37;Cepheus-1-108Q;95.95;92.9;94.31
2026-05-12 07:41:37;Garnet;99.86;97.79;97.51
2026-05-12 07:41:37;Forte 1;N/A;98.67;99.61
2026-05-12 19:41:40;Cepheus-1-108Q;97.39;92.19;94.16
2026-05-12 19:41:40;Garnet;99.89;97.81;97.76
2026-05-12 19:41:40;Forte 1;N/A;98.67;99.61
2026-05-13 07:41:44;Cepheus-1-108Q;96.44;91.9;94.09
2026-05-13 07:41:44;Garnet;99.85;97.48;97.84
2026-05-13 07:41:44;Forte 1;N/A;98.67;99.61
2026-05-13 19:41:48;Cepheus-1-108Q;96.26;91.83;94.03
2026-05-13 19:41:48;Garnet;99.74;98.31;97.54
2026-05-13 19:41:48;Forte 1;N/A;98.67;99.61
2026-05-14 07:41:52;Cepheus-1-108Q;96.9;92.21;94.02
2026-05-14 07:41:52;Garnet;99.86;98.72;97.83
2026-05-14 07:41:52;Forte 1;N/A;98.67;99.61
2026-05-14 19:41:56;Cepheus-1-108Q;96.39;91.79;94.14
2026-05-14 19:41:56;Garnet;99.58;97.11;96.65
2026-05-14 19:41:56;Forte 1;N/A;98.67;99.61
2026-05-15 07:42:00;Cepheus-1-108Q;97.33;91.68;94.26
2026-05-15 07:42:00;Garnet;99.68;97.48;96.92
2026-05-15 07:42:00;Forte 1;N/A;98.67;99.61
2026-05-15 19:42:04;Cepheus-1-108Q;97.8;92.98;94.18
2026-05-15 19:42:04;Garnet;99.81;98.48;97.42
2026-05-15 19:42:04;Forte 1;N/A;98.67;99.61
2026-05-16 07:42:07;Cepheus-1-108Q;97.36;92.95;93.88
2026-05-16 07:42:07;Garnet;99.87;98.55;97.66
